Date;Hour;Opinion
27.03.2022;04:45;Great connection quality even during rush hour
09.06.2022;18:38;I have been using for half a year and I am very happy
14.10.2022;00:44;Customer service deserves a medal always helpful and polite
30.06.2022;00:37;Prices are competitive and the value offered for this money is amazing
02.05.2022;16:40;The installation was fast and trouble -free
12.06.2022;12:14;The Internet works flawlessly regardless of the weather
18.04.2022;17:05;Amazing speeds I can't believe how quickly the pages are loading
06.09.2022;00:25;A very reliable combination ideal for remote work
26.03.2022;15:25;I always get what I pay for without any surprises
04.07.2022;23:13;The use of this service exceeded my expectations
10.05.2022;21:00;I had several problems but they solved them quickly and professionally
26.08.2022;02:54;Since I went to this internet, my online life is much easier
10.04.2022;08:51;I've never experienced such fast internet before
26.03.2022;19:30;Thanks to this internet provider, I can enjoy the game without interrupting the connection
11.10.2022;18:46;This internet works so smoothly that I don't even remember when I recently reset the router
07.07.2022;16:56;I am impressed by the speed and ease of installation
30.04.2022;19:38;Such positive experiences with the internet service are rare
07.03.2022;05:53;Thanks to this, suppliers streaming movies is now pure pleasure
04.12.2022;11:28;Compared to other suppliers, this one definitely stands out from the competition
07.05.2022;07:06;I really recommend it was not disappointed once
23.05.2022;11:15;This internet supplier is pure joy zero problems
30.03.2022;11:17;From the beginning of using their service, I had no connection problems
04.08.2022;04:02;I cannot be more satisfied with the speed and reliability of this internet
28.04.2022;12:51;The guaranteed speeds are always supplied and sometimes even exceeded
13.11.2022;01:56;Fast and simple process of installation registration and starting use
26.10.2022;02:16;The best internet supplier I was dealing with
09.12.2022;01:55;I love how easy I can contact customer service
08.01.2022;21:07;The best quality of the Internet I've ever had
26.08.2022;09:46;I really appreciate their quick and effective customer service
01.09.2022;23:32;I definitely recommend this internet to anyone who is looking for a reliable connection
28.03.2022;09:19;From the moment of switching to this internet, my call problems have disappeared
05.04.2022;12:50;In the end I can enjoy a smooth combination during a video conference
20.08.2022;01:57;This internet exceeds everything I have had so far
31.01.2022;15:55;As a player, I am impressed by the stability and connection speed
15.12.2022;23:50;This connection is so reliable that I forgot what the lack of the internet looks like
13.12.2022;12:17;Thanks to this service, I can easily work and learn remotely
23.07.2022;19:02;This is the biggest upgrade of the Internet I've ever experienced
17.10.2022;04:40;I can always rely on this Internet regardless of what I do online
20.09.2022;13:18;This internet service is incredibly stable and fast
11.11.2022;15:41;Undoubtedly, the best internet service I have ever used
02.09.2022;03:57;The service is good but it could be cheaper
05.12.2022;01:47;The internet works well, although I had a few call problems
21.10.2022;15:51;Overall, I am satisfied, although sometimes the speed decreases
16.12.2022;01:20;Customer service could be a bit more helpful
02.04.2022;03:29;The internet is fine but the installation was a bit complicated
02.12.2022;10:56;The service is solid but does not stand out from other suppliers
26.09.2022;17:47;The internet speed is good although I had higher expectations
25.11.2022;22:51;It's okay but I had some problems with initial startup
17.01.2022;09:20;The service works but is not as fast as promised
24.02.2022;19:20;Satisfactory internet but customer service could be better
18.02.2022;19:54;They provide a stable connection but prices could be more competitive
30.10.2022;11:48;Speeds are fine but sometimes there are interruptions in access
28.05.2022;14:31;The service is decent although I had better
12.08.2022;08:25;The internet is reliable but I lack slightly higher speeds
23.11.2022;10:12;I am satisfied but the prices could be a little lower
16.08.2022;18:15;The supplier is good but customer service could be more responsive
22.03.2022;01:31;The internet works but the speed sometimes drops below the expected one
04.11.2022;16:49;The supplier is fine but nothing special
26.01.2022;21:46;The service is nice but sometimes the connection is unstable
29.12.2022;02:31;They work well but their offer could be more attractive
24.03.2022;14:06;It works but the speed could be a little better
14.07.2022;19:28;Sometimes the connection is unstable but in general it is fine
24.02.2022;11:10;Customer service is average but the service is nice
02.09.2022;08:17;A decent connection but the price could be more competitive
12.06.2022;10:20;Use is easy but there were sporadic problems
09.08.2022;23:46;I had a few breaks in access, but it's generally good
15.07.2022;11:24;The internet is stable but the speeds are not always in line with the promised
03.02.2022;09:08;It is generally fine but the waiting time for technical support is sometimes long
18.02.2022;15:53;Sometimes I have speed problems but it works well in general
05.04.2022;17:00;It's good but I was dealing with better internet providers
04.07.2022;08:42;Not the worst but certainly not the best internet supplier on the market
20.07.2022;03:33;Customer service could be more reactive
02.11.2022;07:19;Usually works well but I had a few problems with the connection
09.12.2022;14:43;Use is simple but sometimes the internet works slower than usual
15.10.2022;22:52;The speed is good but I was dealing with faster suppliers
11.07.2022;21:02;The installation was quite easy but the speed is not always as promised
25.10.2022;21:30;The service is nice but sometimes you have to wait a long time for customer service
23.11.2022;14:18;Sometimes the speed decreases but in general it is fine
20.10.2022;04:50;It's ok but I'm not sure if it deserves its price
16.09.2022;09:39;Works well but I had better experience with other suppliers
01.06.2022;00:08;The internet is unstable often loses the connection
28.03.2022;06:35;The speed is definitely lower than the promised contract
07.02.2022;22:21;Really poor customer service is difficult to get any help
17.08.2022;05:01;The supplier often neglects the repair of the failure in a reasonable time
24.03.2022;20:05;Prices are too high compared to the quality of services
11.04.2022;21:30;The internet often works slowly even in the peak hours
07.03.2022;03:41;The installation process was frustratingly complicated
11.11.2022;19:43;I have to wait even a few hours for customer service
16.07.2022;21:47;It is not as fast as they advertise
29.12.2022;01:04;I lose my connection too often when I need it the most
30.04.2022;06:25;It is difficult for me to recommend this service due to frequent delivery breaks
04.05.2022;16:28;The link speed is insufficient for my needs
12.10.2022;17:43;The process of reporting problems is too complicated and time consuming
27.07.2022;16:37;Prices are inadequate to the quality of services
09.12.2022;20:11;I had problems with the instability of the connection from the beginning of use
21.04.2022;21:21;Customer service is unprofessional and not very helpful
06.06.2022;06:24;Continuous speed problems are frustrating
05.03.2022;17:29;I definitely expected better quality of services
30.07.2022;14:49;The internet is too free, especially during peak hours
21.11.2022;04:56;I always have problems with getting a connection when I need it
19.08.2022;11:32;This internet is absolutely unbelievable constant breaks and delays
25.12.2022;07:11;The worst internet supplier I have ever dealt with
15.05.2022;17:55;Customer service is incompetent and unfavorable total failure
06.06.2022;20:05;Frequent failures and lack of professionalism are the everyday life of this supplier
25.07.2022;15:24;The speed is pathetic, it is impossible to even normally browse the pages
07.09.2022;16:41;Technical support is absolutely ineffective, they never solve problems
27.05.2022;18:14;I pay for a service that I hardly get is a scam
30.06.2022;07:17;Absolutely unacceptable constant breaks in the combination are unbearable
05.01.2022;23:26;The waiting time for customer service is absolutely unacceptable
30.12.2022;11:16;The internet is so free that I feel like in the 90s
17.03.2022;12:53;This service is so bad that it even prevents remote work
28.09.2022;12:48;I often have to reset the router to have any connection
24.06.2022;18:39;The offered speeds are a total lie, I do not recommend it to anyone
08.09.2022;02:16;This supplier is absolutely unbelievable does not deserve any positive feedback
17.07.2022;12:15;I experience a real nightmare with this internet provider
13.04.2022;22:37;I actually pay for the impossibility of using the Internet, this is the speed
03.09.2022;00:21;This is the worst internet supplier I have dealt with
13.12.2022;02:20;Sometimes I have the impression that I use dial-up this internet works so slowly
27.07.2022;14:41;I still have problems with this supplier and customer service is ineffective
14.01.2022;05:05;I feel that I lose time and money for this service
08.02.2022;10:14;Absolutely the worst internet supplier, the connection practically does not exist
04.08.2022;03:19;This service is a complete nightmare, the speed is pathetic
27.10.2022;07:36;Technical support is a real disaster zero competence and understanding of the problem
30.06.2022;17:25;I am shocked how bad this internet is the pages are loading eternity
25.01.2022;05:30;I do not recommend anyone, unless someone likes to bother with constant breaks
24.05.2022;19:34;I am experiencing a real hell with this supplier, nothing works as it should
07.03.2022;14:54;This is absolutely the worst service I've ever had a total lack of connection
12.08.2022;14:10;I feel that I waste money for something that doesn't work at all
06.10.2022;09:51;I haven't just met such a bad internet provider yet
03.06.2022;13:22;I pay for the service which actually has no internet is practically non -existent
31.03.2022;16:07;This supplier is an absolute bottom customer service does not exist
18.03.2022;19:43;This is a total drama, the connection is so free that it's funny
24.01.2022;09:42;This service is a real failure, even basic browsing of pages does not work
10.12.2022;16:45;The choice of this supplier was the worst mistake I could make
26.03.2022;04:15;Completely disappointed continuous failures and speed reminiscent of dial-up times
07.09.2022;00:18;This is the worst experience with the Internet provider I've ever had
14.09.2022;08:09;I honestly advise against unless someone wants to get nervous
30.12.2022;20:33;This supplier is so bad that it is impossible to use the Internet
18.06.2022;13:22;I am totally disappointed, I have virtually no connection
20.09.2022;13:16;It is simply unacceptable the service is completely inappropriate
04.06.2022;05:08;This internet supplier is amazing zero problems great speeds
21.12.2022;13:26;The service is fine, I had no failure from the beginning of use
23.09.2022;21:29;The internet is super fast, I could not ask for a better connection
06.09.2022;14:11;I am impressed by their customer service always helpful and professional
05.05.2022;22:36;This internet is great always provides promised speeds
20.12.2022;10:49;Registration and installation were simple and quick and using the service is pure pleasure
30.09.2022;16:55;By far the most reliable internet I dealt with
25.11.2022;06:00;Customer service is always great ready to help
27.10.2022;06:53;The internet is incredibly fast and reliable I am surprised
24.03.2022;02:10;I definitely recommend this supplier if you want to have trouble -free internet
10.07.2022;12:09;Since I switched to this internet, I didn't have a single break in the connection
25.07.2022;07:47;I can finally enjoy a smooth connection during video conference
20.11.2022;22:41;This supplier exceeds everything I have ever had so far
14.05.2022;06:32;As a player, I am impressed how solid this connection is
08.06.2022;16:13;This connection is so reliable that I forgot what the lack of the internet looks like
07.09.2022;16:44;This service makes work and remote learning simple as never before
24.04.2022;11:38;By far the best upgrade of my internet I've ever had
02.01.2022;21:56;No matter what I do online, I can always rely on this internet
30.04.2022;06:07;This internet service is incredibly stable and fast
27.07.2022;10:58;This is undoubtedly the best internet supplier I have dealt with
21.06.2022;01:46;Customer service is always unique
07.10.2022;08:53;I could not be more satisfied with the speed and reliability of this internet
05.11.2022;22:51;By far the best supplier I was dealing with
20.11.2022;06:45;I enjoy their speed and effectiveness of customer service
15.02.2022;01:11;This internet is incredibly stable regardless of the hour
11.05.2022;17:44;The speed is always at the highest level regardless of the load
18.01.2022;08:18;Very pleased with this service works flawlessly and is very fast
14.05.2022;03:31;This is undoubtedly the best internet service on the market
09.07.2022;02:42;This supplier provides the best quality of services and the most reliable connection
29.10.2022;22:29;I am really surprised how well this internet works
12.09.2022;23:42;Since I changed the supplier, my internet problems have disappeared
21.02.2022;20:07;I definitely recommend this service if you want to have a reliable and quick connection
03.04.2022;15:13;I am impressed with how this internet works smoothly
18.04.2022;19:15;Customer service is always willing to help and quickly solve problems
20.03.2022;09:24;This service is extremely stable, you can always rely on it
19.04.2022;00:09;Finally, I can enjoy a fast and reliable internet connection
02.04.2022;08:09;This combination is so good that I forgot how it is to have internet problems
21.02.2022;22:21;This service is amazing always works as it should be regardless of the hour
01.09.2022;19:06;This is by far the best internet service I've ever had
13.01.2022;15:02;I am really satisfied with this service I have never had any problems
02.04.2022;06:06;This internet service is absolutely amazing, I have never had a better connection
15.04.2022;15:51;This supplier is simply unacceptable to beaten speed and stability are phenomenal
19.05.2022;22:52;I am surprised how fantastic this combination of the internet works like a dream
07.06.2022;15:17;Definitely the best internet supplier on the market is unique
11.09.2022;00:39;This service is simply amazing everything works perfectly without any problems
17.05.2022;02:33;I am very impressed with the quality of services is the best internet I have ever dealt with
11.09.2022;13:30;This supplier is absolutely first -rate internet always works flawlessly
21.05.2022;07:18;The speed and reliability of this connection are absolutely not to be overestimated
11.06.2022;21:49;I am surprised how trouble -free this internet is really amazing
13.01.2022;18:14;This internet supplier is absolutely unique I have never had a better experience
30.11.2022;04:33;The internet speed is good but customer service could be better
29.05.2022;05:45;I am generally satisfied, although sometimes there are minor breaks
11.10.2022;23:06;The service is good but a little way compared to other suppliers
07.09.2022;10:10;A really good supplier but the installation process was a bit complicated
14.03.2022;03:50;I am satisfied with the speed but customer service could be more helpful
04.08.2022;21:53;In general, the service is good but sometimes the connection is unstable
30.12.2022;15:53;Great service but there were problems with invoices
25.10.2022;16:29;The supplier is good but sometimes the connection is free during peak hours
27.12.2022;18:20;I am satisfied with the service but I had problems with the installation
05.12.2022;02:22;The service is good but I encountered problems during registration
11.06.2022;10:57;The speed is good but customer service could be more anticipating
06.07.2022;10:12;They are reliable but prices could be more competitive
18.08.2022;09:49;The speed is great but the registration process was complicated
29.07.2022;05:59;The service is solid but customer service could be more competent
10.09.2022;10:40;Overall, I'm happy but sometimes I have problems with connection
10.01.2022;06:11;Fast and reliable internet but I don't always get help from customer service
27.06.2022;01:09;Good supplier but the prices are a bit high
08.08.2022;13:24;I am satisfied with the speed but the installation process was frustrating
03.04.2022;07:14;The speed is fantastic but customer service could be more friendly
19.03.2022;03:15;In general, the service is solid but sometimes the connection is free
11.10.2022;15:55;The speed is great but customer service could be more fast
23.11.2022;18:37;The service is reliable but the prices are a bit too high
24.07.2022;02:04;The internet is fast but customer service is difficult to contact
10.02.2022;09:27;The supplier is solid but the installation process was too complicated
26.11.2022;18:17;The internet is usually good but sometimes I have connection problems
21.06.2022;16:58;The supplier is reliable but customer service could be more helpful
10.07.2022;01:30;The speed is good but sometimes the connection is unstable
24.05.2022;06:48;The service is reliable but prices may be a bit too high for some
12.07.2022;03:34;The speed is usually good but customer service is difficult to contact
20.04.2022;14:05;Overall, I'm happy but I had problems with the invoices
03.07.2022;14:06;The internet is usually fast but customer service could be more anticipating
07.07.2022;12:09;The service is solid but prices could be more competitive
16.05.2022;22:12;The speed is good but customer service could be more competent
23.06.2022;03:27;The service is good but sometimes the connection is free during peak hours
04.09.2022;21:41;The supplier is solid but I had problems during registration
25.02.2022;23:35;The speed is usually good but customer service could be more friendly
18.02.2022;11:18;Overall, I'm happy but sometimes I have a connection problems
16.09.2022;22:59;Speed ??is great but customer service could be more fast
21.03.2022;15:22;The service is reliable but the installation process was too complicated
02.03.2022;12:36;Speed ??is usually good but sometimes I have connection problems
07.03.2022;00:20;The supplier is solid but customer service could be more helpful
18.10.2022;09:23;The service is good but prices may be a bit too high for some
22.03.2022;13:45;The internet is usually fast but customer service is difficult to contact
28.12.2022;06:31;The supplier is reliable but the registration process was frustrating
01.09.2022;19:35;The speed is good but customer service could be more anticipating
19.12.2022;20:34;The service is solid but prices could be more competitive
13.11.2022;19:27;The internet is fast but customer service could be more competent
07.03.2022;07:49;The supplier is solid but sometimes the connection is free during peak hours
21.01.2022;13:49;Overall, I'm happy but I had problems with the invoices
